"","Course Code","Course Name","Course Description","Prerequisite","Antirequisite","Corequisite","Note","Other Information","Lecture","Lab","Test Slot","Tutorial","Project","Reading","Studio","Credit Amount"
"11","AMATH 351","Ordinary Differential Equations 2","Second order linear differential equations with non-constant coefficients, Sturm comparison, oscillation and separation theorems, series solutions and special functions. Linear vector differential equations in Rn, an introduction to dynamical systems. Laplace transforms applied to linear vector differential equations, transfer functions, the convolution theorem. Perturbation methods for differential equations. Numerical methods for differential equations. Applications are discussed throughout. [Offered: F,S]","Prereq: AMATH 250 or 251 and MATH 237 or 247; Level at least 3A."," Antireq: AMATH 350","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"12","AMATH 353","Partial Differential Equations 1","Second order linear partial differential equations - the diffusion equation, wave equation, and Laplace's equation. Methods of solution - separation of variables and eigenfunction expansions, the Fourier transform. Physical interpretation of solutions in terms of diffusion, waves and steady states. First order non-linear partial differential equations and the method of characteristics. Applications are emphasized throughout. [Offered: W,S]","Prereq: AMATH 231 and (one of AMATH 250 or 251, MATH 211/ECE 205, MATH 218, 228)."," Antireq: AMATH 350, PHYS 364","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"13","AMATH 361","Continuum Mechanics","Stress and strain tensors; analysis of stress and strain. Lagrangian and Eulerian methods for describing flow. Equations of continuity, motion and energy, constitutive equations. Navier-Stokes equation. Basic equations of elasticity. Various applications. [Offered: W]","Prereq: AMATH 231 and (AMATH 271 or PHYS 263).",""," Coreq:  AMATH 351 and (AMATH 353 or PHYS 364)",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"14","AMATH 373","Quantum Theory 1","Critical experiments and old quantum theory. Basic concepts of quantum mechanics: observables, wavefunctions, Hamiltonians, and the Schroedinger equation. Uncertainty, correspondence, and superposition principles. Simple applications to finite and extended one-dimensional systems, harmonic oscillator, rigid rotor, and hydrogen atom. [Offered: W]","Prereq: AMATH 231 and (AMATH 271 or PHYS 263) and PHYS 234."," Antireq: PHYS 334","",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"15","AMATH 382","Computational Modelling of Cellular Systems","An introduction to dynamic mathematical modeling of cellular processes. The emphasis is on using computational tools to investigate differential equation-based models. A variety of cellular phenomena are discussed, including ion pumps, membrane potentials, intercellular communication, genetic networks, regulation of metabolic pathways, and signal transduction.","Prereq: One of MATH 118, 119, 128, 138, 148; Third year standing in an Honours plan","","","[Note: Offered in the  winter of even numbered years.]"," (Cross-listed with BIOL 382)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"16","AMATH 383","Introduction to Mathematical Biology","An introduction to the mathematical modelling of biological processes, with emphasis on population biology. Topics include ecology, epidemiology, microbiology, and physiology. Techniques include difference equations, ordinary differential equations, partial differential equations, stability analysis, phase plane analysis, travelling wave solutions, mathematical software. Includes collaborative projects and computer labs.","Prereq: (One of MATH 106, 114, 115, 136, 146) and (One of AMATH 250, 251, 350 or MATH 218, 228) and (One of STAT 202, 206, 211, 220, 230, 231, 241)","","","[Note: Offered in the winter of odd numbered years.]"," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"17","AMATH 390","Mathematics and Music","An introduction to some of the deep connections between mathematics and music. Topics covered include acoustics, including pitch and harmonics, basic Fourier analysis, the mathematics behind the differing pitch and timbre of string, wind and percussion instruments, scales and temperaments, digital music, musical synthesis.","Prereq: One of MATH 118, 119, 128, 138, 148; Level at least 3A","","","[Note: Offered in the fall of even years.]"," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"18","AMATH 391","From Fourier to Wavelets","An introduction to contemporary mathematical concepts in signal analysis. Fourier series and Fourier transforms (FFT), the classical sampling theorem and the time-frequency uncertainty principle. Wavelets and multiresolution analysis. Applications include oversampling, denoising of audio, data compression, and singularity detection.","Prereq: (One of AMATH 231, ECE 342, PHYS 364, SYDE 252) and (One of MATH 114, 115, 136, 146, SYDE 114)","","","[Note: Offered in the fall of odd years.]"," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"19","AMATH 442","Computational Methods for Partial Differential Equations","This course studies several classes of methods for the numerical solution of partial differential equations in multiple dimensions on structured and unstructured grids. Finite volume methods for hyperbolic conservation laws: linear and nonlinear hyperbolic systems; stability; numerical conservation. Finite element methods for elliptic and parabolic equations: weak forms; existence of solutions; optimal convergence; higher-order methods. Examples from fluid and solid mechanics. Additional topics as time permits. [Offered: F]","Prereq: AMATH 342","","",""," ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"20","AMATH 451","Introduction to Dynamical Systems","A unified view of linear and nonlinear systems of ordinary differential equations in Rn. Flow operators and their classification: contractions, expansions, hyperbolic flows. Stable and unstable manifolds. Phase-space analysis. Nonlinear systems, stability of equilibria and Lyapunov functions. The special case of flows in the plane, Poincare-Bendixson theorem and limit cycles. Applications to physical problems will be a motivating influence. [Offered: W]","Prereq: AMATH 351","","",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"21","AMATH 453","Partial Differential Equations 2","A thorough discussion of the class of second order linear partial differential equations with constant coefficients, in two independent variables. Laplace's equation, the wave equation and the heat equation in higher dimensions. Theoretical/qualitative aspects: well-posed problems, maximum principles for elliptic and parabolic equations, continuous dependence results, uniqueness results (including consideration of unbounded domains), domain of dependence for hyperbolic equations. Solution procedures: elliptic equations -- Green functions, conformal mapping; hyperbolic equations -- generalized d'Alembert solution, spherical means, method of descent; transform methods -- Fourier, multiple Fourier, Laplace, Hankel (for all three types of partial differential equations); Duhamel's method for inhomogeneous hyperbolic and parabolic equations.","Prereq: AMATH 351 and 353","","","[Note: Offered in the fall of odd years.]"," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"22","AMATH 455","Control Theory","Feedback control with applications. System theory in both time and frequency domain, state-space computations, stability, system uncertainty, loopshaping, linear quadratic regulators, and estimation. [Offered: W]","Prereq: (AMATH/PMATH 332 or PMATH 352) and AMATH 351","","",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"23","AMATH 456","Calculus of Variations","Concept of functional and its variations. The solution of problems using variational methods - the Euler-Lagrange equations. Applications include an introduction to Hamilton's principle and optimal control. [Offered: F]","Prereq: MATH 237 or 247 and (One of AMATH 250 or 251, MATH 211/ECE 205, MATH 218, 228); Level at least 3B","","",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"24","AMATH 463","Fluid Mechanics","Incompressible, irrotational flow. Incompressible viscous flow. Introduction to wave motion and geophysical fluid mechanics. Elements of compressible flow. [Offered: F]","Prereq: (AMATH 353 or PHYS 364) and AMATH 361.","","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"25","AMATH 473","Quantum Theory 2","The Hilbert space of states, observables, and time evolution. Feynman path integral and Greens functions. Approximation methods. Co-ordinate transformations, angular momentum, and spin. The relation between symmetries and conservation laws. Density matrix, Ehrenfest theorem, and decoherence. Multiparticle quantum mechanics. Bell inequality and basics of quantum computing. [Offered: F]","Prereq: AMATH 373 or PHYS 334","","",""," (Cross-listed with PHYS 454)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"26","AMATH 474","Quantum Theory 3: Quantum Information and Foundations","Theory of correlations and entanglement; theory of quantum channels, detectors; the measurement problem, in quantum mechanics; phase space formulation of quantum mechanics; entanglement in infinite dimensional quantum systems; introduction to open quantum systems; and exploration of current research directions in quantum information. [Offered: W]","Prereq: AMATH 473/PHYS 454; Level at least 4A Mathematics or Science students only","","",""," (Cross-listed with PHYS 484)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"27","AMATH 475","Introduction to General Relativity","Tensor analysis. Curved space-time and the Einstein field equations. The Schwarzschild solution and applications. The Friedmann-Robertson-Walker cosmological models. [Offered: W]","Prereq: (AMATH 231 or MATH 227) and (AMATH 271 or PHYS 263); Level at least 4A Honours Mathematics or Science students","","",""," (Cross-listed with PHYS 476)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"28","AMATH 477","Stochastic Processes for Applied Mathematics","Random variables, expectations, conditional probabilities, conditional expectations, convergence of a sequence of random variables, limit theorems, minimum mean square error estimation, the orthogonality principle, random process, discrete-time and continuous-time Markov chains and applications, forward and backward equation, invariant distribution, Gaussian process and Brownian motion, expectation maximization algorithm, linear discrete stochastic equations, linear innovation sequences, Kalman filter, various applications.","Prereq: (One of AMATH 250, 251, 350, MATH 211/ECE 205, MATH 218, 228), STAT 230 or 240","","","[Note: Offered in the fall of odd numbered years.]"," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"29","AMATH 495","Reading Course","Reading course as announced by the department.","Prereq: Not open to General Mathematics students","","",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
